Repo,Tag Name,Release Name,Published At,Year,Month,Day,Week,Date,Is Weekend,URL
daangn/stackflow,@stackflow/plugin-basic-ui@1.9.1,@stackflow/plugin-basic-ui@1.9.1,2024-08-14T05:38:46Z,2024,8,14,33,2024-08-14,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.9.1
daangn/stackflow,@stackflow/link@1.4.4,@stackflow/link@1.4.4,2024-08-14T05:38:43Z,2024,8,14,33,2024-08-14,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/link%401.4.4
daangn/stackflow,@stackflow/core@1.1.0,@stackflow/core@1.1.0,2024-08-14T05:38:38Z,2024,8,14,33,2024-08-14,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/core%401.1.0
daangn/stackflow,@stackflow/compat-await-push@1.1.12,@stackflow/compat-await-push@1.1.12,2024-08-14T05:38:40Z,2024,8,14,33,2024-08-14,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/compat-await-push%401.1.12
daangn/stackflow,@stackflow/react@1.2.2,@stackflow/react@1.2.2,2024-08-08T02:42:12Z,2024,8,8,32,2024-08-08,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react%401.2.2
daangn/stackflow,@stackflow/react-ui-core@1.1.0,@stackflow/react-ui-core@1.1.0,2024-08-08T02:42:09Z,2024,8,8,32,2024-08-08,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react-ui-core%401.1.0
daangn/stackflow,@stackflow/plugin-history-sync@1.6.1,@stackflow/plugin-history-sync@1.6.1,2024-08-08T03:53:13Z,2024,8,8,32,2024-08-08,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-history-sync%401.6.1
daangn/stackflow,@stackflow/plugin-basic-ui@1.9.0,@stackflow/plugin-basic-ui@1.9.0,2024-08-08T02:42:06Z,2024,8,8,32,2024-08-08,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.9.0
daangn/stackflow,@stackflow/core@1.0.14,@stackflow/core@1.0.14,2024-08-08T03:53:10Z,2024,8,8,32,2024-08-08,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/core%401.0.14
daangn/stackflow,@stackflow/plugin-preload@1.4.0,@stackflow/plugin-preload@1.4.0,2024-08-02T01:22:05Z,2024,8,2,31,2024-08-02,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-preload%401.4.0
